============================================================
superquant 模拟交易 (ML驱动)
  启动: 2026-06-26 11:29:56
  当前资金: ¥5,000
============================================================
  📦 恢复持仓: 300650 ¥14.87×300股
  📦 恢复持仓: 002141 ¥5.35×100股
  当前资金: ¥2, 持仓: 2只
  加载ML候选池...
  ML候选: 主力200只 + 探索0只 = 200只 (from DB)
  监控池: 200只 (主力200只/探索0只)
  [13:15:17] 资金=¥2, 持仓=2
  [13:15:22] 资金=¥2, 持仓=2
  [13:15:27] 资金=¥2, 持仓=2
  [13:15:33] 资金=¥2, 持仓=2
  [13:15:38] 资金=¥2, 持仓=2
  [13:15:43] 资金=¥2, 持仓=2
  [13:15:48] 资金=¥2, 持仓=2
  [13:15:54] 资金=¥2, 持仓=2
  [13:15:59] 资金=¥2, 持仓=2
  [13:16:04] 资金=¥2, 持仓=2
  [13:16:09] 资金=¥2, 持仓=2
  [13:16:16] 资金=¥2, 持仓=2
  [13:16:21] 资金=¥2, 持仓=2
  [13:16:27] 资金=¥2, 持仓=2
  [13:16:32] 资金=¥2, 持仓=2
  [13:16:37] 资金=¥2, 持仓=2
  [13:16:42] 资金=¥2, 持仓=2
  [13:16:48] 资金=¥2, 持仓=2
  [13:16:53] 资金=¥2, 持仓=2
  [13:16:58] 资金=¥2, 持仓=2
  [13:17:04] 资金=¥2, 持仓=2
  [13:17:09] 资金=¥2, 持仓=2
  [13:17:14] 资金=¥2, 持仓=2
  [13:17:19] 资金=¥2, 持仓=2
  [13:17:24] 资金=¥2, 持仓=2
  [13:17:30] 资金=¥2, 持仓=2
  [13:17:35] 资金=¥2, 持仓=2
  [13:17:41] 资金=¥2, 持仓=2
  [13:17:46] 资金=¥2, 持仓=2
  [13:17:51] 资金=¥2, 持仓=2
  [13:17:57] 资金=¥2, 持仓=2
  [13:18:02] 资金=¥2, 持仓=2
  [13:18:07] 资金=¥2, 持仓=2
  [13:18:12] 资金=¥2, 持仓=2
  [13:18:18] 资金=¥2, 持仓=2
  [13:18:23] 资金=¥2, 持仓=2
  [13:18:28] 资金=¥2, 持仓=2
  [13:18:33] 资金=¥2, 持仓=2
  [13:18:38] 资金=¥2, 持仓=2
  [13:18:44] 资金=¥2, 持仓=2
  [13:18:49] 资金=¥2, 持仓=2
  [13:18:55] 资金=¥2, 持仓=2
